,class,sms
2310,ham,"2 sleeping bag , 1 blanket paper phone detail . anything else ?"
2311,spam,nokia 7250i . get win free auction . take part send nokia 86021 . HG/Suite342/2Lands Row/W1JHL 16+
2312,spam,"congratulation ! thanks good friend u £2,000 xmas prize . 2 claim easy , call 08718726971 ! 10p per minute . BT-national-rate ."
2313,spam,"email ( game thedailydraw ) dear helen , dozen free game - great prizeswith .."
2314,ham,guy .
2315,ham,also chat wa awesome n't make regular unless see person
2316,ham,'s significant dont worry .
2317,ham,'s cause old . live high .
2318,ham,"waqt se pehle naseeb se zyada kisi ko kuch nahi milta , zindgi wo nahi jo hum sochte hai zindgi wo hai jo ham jeetey hai .........."
2319,ham,way office da ..
2320,ham,place want da .
2321,ham,pain could n't come worse time .
2323,ham,stalking u ?
2324,ham,sorry dude . dont know forgot . even dan reminded . sorry . hope guy fun .
2325,ham,ok lor .
2326,ham,apps class varaya elaya .
2328,spam,"urgent ! mobile number * * * * * * * * * * * * * * * £2000 bonus caller prize 10/06/03 ! 2nd attempt reach ! call 09066368753 asap ! box 97n7qp , 150ppm"
2329,ham,day asked anand number . whyemoticon
2330,ham,surfing online store . offer want buy thing .
2331,ham,long beach lor . expected ... u dinner ?
2332,ham,home way
2333,ham,fine . thanks
2334,ham,happen tell truth
2335,ham,like italian food ?
2336,ham,weird know one point
2337,ham,`` aww must nearly dead ! well jez iscoming todo workand whilltake forever ! ''
2338,ham,tell friend plan valentine day @ url
2339,ham,"alright , see bit"
2340,ham,cheer message zogtorius . ive staring phone age deciding whether text .
2341,ham,take care financial problem.i helpemoticon
2342,ham,tell dear happen . talking like alian
2343,spam,double min txts orange 1/2 price linerental - motorola sonyericsson B/Tooth FREE-Nokia free call mobileupd8 08000839402 or2optout/HV9D
2346,ham,"hi yijue , meet u 11 tmr ?"
2347,ham,posible dnt live number century cm frwd n thnk different
2348,ham,dint slept afternoon .
2349,ham,seems unnecessarily affectionate
2350,ham,yar else 'll thk sort funny thing .
2352,spam,"download many ringtones u like restriction , 1000 2 choose . u even send 2 yr buddy . txt sir 80082 £3"
2353,ham,thats cool . wa day ?
2354,spam,please call 08712402902 immediately urgent message waiting .
2355,ham,r going number bus ?
2356,ham,"hello , love ! went day ? alright ? think , sweet send jolt heart remind ... love ! hear ? screamed across sea world hear . ahmad al hallaq loved ! owned ! * possessive passionate kiss *"
2357,ham,.. joined today .
2358,ham,okay . well thanks clarification
2359,ham,'ll talk others probably come early tomorrow
2360,spam,"spook mob halloween collection logo pic message plus free eerie tone , txt card spook 8007 zed 08701417012150p per logo/pic"
2361,ham,"money issue weigh thanks , breathe easier . I.ll make sure dont regret . thanks ."
2362,ham,hi . 'm sorry missed call . pls call back .
2364,spam,"fantasy football back tv . go sky gamestar sky active play £250k dream team . scoring start saturday , register ! sky opt 88088"
2365,ham,ok need tell anything going sleep good night
2366,ham,ok try week end course coimbatore .
2367,spam,tone club : sub ha expired 2 re-sub reply monoc 4 mono polyc 4 polys 1 weekly @ 150p per week txt stop 2 stop msg free stream 0871212025016
2368,ham,v nice ! 2 sheffield tom 2 air opinion category 2 b used 2 measure ethnicity next census . busy transcribing . emoticon
2369,ham,r @ home come within 5 min
2370,ham,"boy loved gal . propsd bt didnt mind . gv lv lttrs , bt frnds threw thm . boy decided 2 aproach gal , dt time truck wa speeding towards gal . wn wa 2 hit girl , boy ran like hell n saved . asked 'hw cn u run fast ? ' boy replied `` boost secret energy '' n instantly girl shouted `` energy '' n thy lived happily 2gthr drinking boost evrydy moral story : - hv free msgsemoticonemoticon : gud ni8"
2371,ham,"day u say u cut ur hair paragon , called hair sense ? u noe much hair cut ?"
2372,ham,"hmm , many unfortunately ... pic obviously arent hot cake . kinda fun tho"
2373,ham,watching tv lor ... funny bluff 4 wat . izzit thk 's impossible u ?
2374,spam,xmas prize draw ! trying contact U. today draw show £2000 prize guaranteed . call 09058094565 land line . valid 12hrs
2375,ham,dunno lei neva say ...
2376,ham,thanx 4 2day ! u r goodmate think ur rite sary ! asusual ! 1 u cheered ! love u franyxxxxx
2377,ham,'m way home . went change batt 4 watch go shop bit lor .
2378,spam,yes ! place town meet exciting adult single uk . txt chat 86688 ! 150p/Msg .
2379,ham,"hi , mobile . number ha added contact list url great place send free sm people visit url"
2380,ham,"good evening sir , hope nice day . wanted bring notice late paying rent past month pay $ number charge . felt would inconsiderate nag something give great cost 's didnt speak . however recession wont able pay charge month hence askin well ahead month 's end . please help . thank everything ."
2381,ham,"let , want house 8am ."
2382,ham,best line said love : . `` wait till day forget u day u realize u forget me. '' ... gn
2383,ham,reach ten morning
2384,ham,pussy perfect !
2386,spam,"someone ha contacted dating service entered phone becausethey fancy ! find call landline 09058098002 . pobox1 , w14rg 150p"
2387,ham,message .. responce .. happend ?
2388,ham,also 's piece
2389,ham,wiskey brandy rum gin beer vodka scotch shampain wine `` kudi '' yarasu dhina vaazhthukkal . ..
2390,ham,boo . 's thing ? 'm back home little bored already emoticon
2391,ham,first ha gained number kg since took . second ha done blood sugar test . ha ok blood pressure within normal limit worry
2392,ham,pick ur fone u dumb ?
2393,ham,"thanks da thangam , feel happy dear . also miss da ."
2394,ham,"okey doke . 'm home , dressed co laying around ill ! speak later bout time stuff ."
2395,ham,n't run away frm u ... walk slowly kill u n't care enough stop ...
2396,ham,"babe , 'm back ... come back ..."
2397,ham,well told others 'd marry ...
2398,ham,neshanth .. tel r u ?
2399,ham,yo yo yo byatch whassup ?
2400,ham,oh ... kay ... sat right ?
2401,ham,hi ! roger cl . ?
2402,spam,babe : u want dont u baby ! im nasty thing 4 filthyguys . fancy rude time sexy bitch . go slo n hard ! txt xxx slo ( 4msgs )
2403,ham,oh oh ... wasted ... den muz chiong sat n sun liao ...
2404,ham,jesus christ bitch 'm trying give drug answer fucking phone
2405,ham,please give 2 pick tuesday evening 8 ok .
2406,ham,'m meeting darren ...
2407,ham,"one best dialogue cute reltnship .. ! ! `` wen die , dont come near body .. ! ! bcoz hand may come 2 wipe ur tear time .. ! gud ni8"
2408,ham,"solve case : man wa found murdered decimal . number afternoon . 1 , wife called police . 2 , police questioned everyone . 3 , wife : sir , wa sleeping , murder took place . 4.Cook : wa cooking . 5.Gardener : wa picking vegetable . 6.House-Maid : went 2 post office . 7.Children : went 2 play . 8.Neighbour : went 2 marriage . police arrested murderer immediately . 's ? reply reason , u r brilliant ."
2409,ham,dear reach
2410,ham,aww 's first time u said u missed without asking missed u first . love ! emoticon
2411,ham,ok ... thanx ... gd nite 2 u ...
2412,ham,"come right , ahmad"
2414,ham,lol please . actually send pic right . wan na see . pose comb hair dryer something .
2415,ham,wa fps .
2416,ham,huh mean computational science ... like dat one push n ...
2417,ham,"could read , love ? answered"
2418,ham,oh ... lk tt den take e one tt end cine lor ... dun wan yogasana oso ...
2419,ham,"madam , regret url receive reference check dlf url url , rakhesh , kerala ."
2420,spam,sm service inclusive text credit pls gotto url login 3qxj9 unsubscribe stop extra charge help 08702840625 comuk.220cm2 9ae
2421,ham,oic ... better quickly go bathe n settle ...
2422,ham,err ... cud . 'm going 8pm . n't got way contact .
2423,ham,bloo bloo bloo 'll miss first bowl
2424,ham,lmao fun ...
2425,ham,oh k kemoticonbut big url good
2426,ham,hey ! ! ! almost forgot ... happy B-day babe ! love ya ! !
2427,spam,valentine day special ! win £1000 quiz take partner trip lifetime ! send go 83600 . 150p/msg rcvd . CustCare:08718720201
2428,ham,think move number week
2429,ham,She.s find . sent offline message know anjola 's .
2430,spam,guess ? first time created web page url read wrote . 'm waiting opinion . want friend 1/1
2431,ham,wa txting driving
2432,ham,'s good . let thank god . please complete drug . lot water . beautiful day .
2433,ham,really dun bluff leh ... u sleep early . nite ...
2434,ham,indian r poor india poor country . say one swiss bank director . say `` number lac crore '' indian money deposited swiss bank used 'taxless ' budget number yr . give number crore job indian . village delhi 4 lane road . forever free power suply number social project . every citizen get monthly number /- number yr . need world bank imf loan . think money blocked rich politician . full right corrupt politician . itna forward karo ki pura india padhe.g.m . ''
2435,ham,uncle boye . need movie oh . guide . plus know torrent particularly legal . system slowing . . gr8 day . plus started co dont meet online . wa honey moon .
2436,ham,oh ya ya . remember da . .
2437,ham,btw regarding really try see anyone else 4th guy commit random dude
2438,spam,"ur chance win £250 cash every wk txt : play 83370 . T'sandC 's URL-URL custcare 08715705022 , 1x150p/wk ."
2439,ham,busy juz dun wan 2 go early .. hee ..
2440,ham,rightio . 11.48 . well arent bright early morning .
2441,ham,"great . 'm church , holla get"
2442,ham,back brum ! thanks putting u keeping u happy . see soon
2443,ham,donno scorable
2444,ham,number great loxahatchee xmas tree burning update : totally see star
2445,ham,"yes dont care ! need bad , princess !"
2446,ham,"guy ( kadeem ) ha n't selling since break , know one guy 's paranoid fuck doe n't like selling without ca n't til late tonight"
2448,ham,tmr u brin lar ... aiya later come n c lar ... mayb u neva set properly u got da help sheet wif u ...
2449,ham,u knw dis . number ?
2450,ham,dun believe wat ?
2451,ham,k .. give back thanks .
2452,ham,know complain num .. bettr directly go bsnl offc nd apply ..
2453,ham,okay . 've seen . pick friday ?
2454,ham,much payed . suganya .
2455,ham,left dessert . u wan 2 go suntec look 4 u ?
2456,ham,"abeg , make profit . start . using get sponsor next event ?"
2457,ham,onum ela pa. normal .
2458,ham,K.k .. sister kid ?
2459,ham,"cool , 'll text 'm way"
2460,ham,nope . meanwhile talk say make greet .
2461,ham,cant talk now.i call url keep calling .
2462,ham,anything lar ...
2463,ham,"rose need water , season need change , poet need imagination .. phone need ur sm need ur lovely frndship forever ...."
2464,ham,"good afternoon , babe . go day ? job prospect yet ? miss , love ... * sigh * ... emoticon"
2465,ham,pick drop url problem ..
2466,ham,S.i think waste rr ..
2467,ham,world famamus ....
2468,ham,coming friday leave pongal ? get news work place .
2469,ham,lol well n't without . could big sale together .
2470,ham,* way
2471,ham,eat old airport road ... 630 oredi ... got lot pple ...
2472,ham,"sry ca n't talk phone , parent"
2474,ham,ok lor wat time u finish ?
2475,ham,"princess , like make love number time per night . hope thats problem !"
2476,ham,mm way railway
2478,ham,"'m done . 'm sorry . hope next space give everything want . remember furniture . 'm around move , lock lock leave key jenne ."
2479,ham,yet . 'd like keep touch easiest way barcelona . way ru house ?
2480,spam,"sppok ur mob halloween collection nokia logoandpic message plus free eerie tone , txt card spook 8007"
2481,spam,"urgent ! call 09066612661 landline . complementary 4 * tenerife holiday £10,000 cash await collection sae tandcs po box 3 wa14 2px 150ppm 18+ sender : hol offer"
2482,ham,K.EMOTICONdo evening daemoticonurgentemoticon
2483,ham,pansy ! 've living jungle two year ! driving worried !
2484,ham,mm kanji dont eat anything heavy ok
2485,ham,promise getting soon . 'll text morning let know made ok .
2486,ham,lol 's different . n't go trying find every real life photo ever took .
2487,ham,dont thnk wrong calling u
2488,ham,k ill url . need sr model pls send mail id pa .
2489,ham,aiyah e rain like quite big leh . drizzling least run home .
2490,ham,2 doc appointment next week . : / 'm tired shoving stuff . ugh could n't normal body ?
2491,ham,dun b sad .. 's .. dun thk abt already . concentrate ur paper k .
2492,ham,"greeting , ! consider excused ."
2493,ham,drama Pls.i enough family struggling hot sun strange url reason ego going 'IF invited ' actually necessity url serious reppurcussions .
2494,ham,released another italian one today ha cosign option
2495,ham,"mu ? try figure much money everyone ha gas alcohol , jay trying figure weed budget"
2496,spam,winner ! valued network customer hvae selected receive £900 reward ! collect call 09061701444 . valid 24 hour . acl03530150pm
2497,ham,hcl chennai requires fresher voice url english url upto number .Call url number telephonic interview -via url
2498,ham,dai da .. send resume id .
2499,ham,"know number , 'll around 5"
2500,ham,yup 've finished c u ...
2501,ham,remember ask alex pizza
2502,ham,da .. today also forgot ..
2503,ham,"ola would get back maybe today told direct link u getting car bid online , arrange shipping get cut . u ? ? ? ? ? partnership u ? ? ? ? ? invest money shipping take care rest ! u ? ? wud b self reliant soon dnt worry"
2504,ham,fwiw reason 'm around 's time smoke gas afford around someone tell apparently happens somebody want light
2505,ham,"hello , boytoy ! made home constant thought , love . hope nice visit ca n't wait till come home ... * kiss *"
2506,ham,congrats kano .. whr treat maga ?
2507,ham,u talking ?
2508,ham,yup ...
2510,ham,"u wake already ? wat u ? u picking u later rite ? 'm taking sq825 , reaching ard 7 smth 8 like dat . u check e arrival time . c ya soon ..."
2511,ham,yunny 'm walking citylink u faster come ... hungry ...
2512,ham,er yep sure . prop ?
2513,ham,"hiya , u paying money account ? , thanks . got pleasant surprise checked balance -u c , n't get statement 4 acc"
2514,spam,u nokia 6230 plus free digital camera . u get u win free auction . take part send nokia 83383 . POBOX114/14TCR/W1 16
2515,ham,ok ill send decimal ok .
2516,ham,bognor ! splendid time year .
2517,ham,Yes.i 'm office daemoticon
2520,ham,ok . ask abt e movie . u wan ktv oso ?
2521,ham,misplaced number wa sending text old number . wondering 've heard year . best mcat . got number atlanta friend
2523,ham,dunno lei ... might b eatin wif frens ... u wan eat wait 4 u lar
2525,spam,free entry £250 weekly comp send word win 80086 . 18 tandc URL.uk
2527,ham,u noe 2 send file 2 computer ?
2528,ham,"mmmmm ... loved waking word morning ! miss , love . hope day go well happy . wait u together"
2529,ham,jay say 'll put number
2530,ham,come sec ? 's somebody want see
2531,ham,sun anti sleep medicine .
2532,ham,'s happening . gotten job begun registration permanent residency
2533,ham,yup ok ...
2534,ham,glad went well emoticon come 11 'll plenty time claire go work .
2535,ham,ok enjoy . r u home .
2536,ham,"pls pls send mail know relative coming deliver ? know cost , risk , benefit anything else . thanks ."
2537,ham,like
2538,ham,'s haf combine n c lor ...
2539,ham,monthly amount terrible pay anything till 6months finishing school .
2540,ham,hmmmemoticonhow many player selected ?
2541,ham,"said gon na snow , start around 8 9 pm tonite ! predicting inch accumulation ."
2542,ham,dont . send . plus 's mode .
2543,ham,aiyo please u got time meh .
2544,ham,package program well
2545,ham,"sister .. belongs 2 family .. hope tomorrow .. pray 4 , wa fated 4 shoranur train incident . let hold hand together fuelled love concern prior 2 grief pain . pls join dis chain pas . stop violence woman ."
2546,ham,guy asking get slipper gone last year
2547,ham,company url terrific food really niceemoticon
2548,spam,"text82228 > > get ringtones , logo game URL82228.com . question : email"
2549,ham,honestly 've made lovely cup tea promptly dropped key burnt finger getting !
2550,ham,yup studying surfing lor . 'm e lazy mode today .
2551,ham,please sen emoticonmy kind advice emoticonplease come tryemoticon
2552,ham,'m done . c u .
2553,ham,"oh fine , 'll tonight"
2554,ham,u give time walk .
2555,ham,'ll reach ard 20 min ok ...
2556,spam,"freemsg awarded free mini digital camera , reply snap collect prize ! ( quizclub opt ? stop 80122300p/wk sp : rwm Ph:08704050406 )"
2557,ham,fuck babe ... happened ? come never came back ?
2558,spam,message brought gmw Ltd. connected
2559,ham,"friend want drive em someplace , probably take"
2560,ham,also thk fast ... xy suggest one . u dun wan 's ok . going 2 rain leh got gd .
2561,ham,still getting good .
2562,ham,maybe pressies
2563,ham,"yeah , 'll leave maybe 7ish ?"
2566,ham,told dr appt next week . think 'm gon na die . told check . nothing worried . n't listen .
2567,ham,room ? need
2568,ham,dont want hear anything
2569,ham,hey . leave friday . wait ask superior tell ..
2570,ham,ultimately tor motive tui achieve korli .
2571,ham,5 2 work timing .
2572,ham,... n't worry 'll finished march ... ish !
2573,ham,"house water dock , boat rolled newscaster dabbles jazz flute behind wheel"
2574,spam,"congrats 2 mobile 3g videophones r . call 09063458130 ! videochat wid ur mate , play java game , dload polyph music , noline rentl . bx420 . ip4 . 5we . 150p"
2575,spam,next amazing xxx picsfree1 video sent enjoy ! one vid enough 2day text back keyword picsfree1 get next video .
2576,ham,thats going ruin thesis !
2577,ham,sch neva mind u eat 1st lor ..
2578,ham,hey whats ? u sleeping morning ?
2579,ham,erm . thought contract ran the4th october .
2580,ham,dunno ... let go learn pilate ...
2581,spam,u subscribed best mobile content service uk £3 per ten day send stop 83435 . helpline 08706091795 .
2582,ham,yup 'm elaborating safety aspect issue ..
2583,spam,"3 free tarot text ! find love life ! try 3 free ! text chance 85555 16 ! 3 free , msg £1.50"
2584,ham,"goodmorning , today late 1hr ."
2585,ham,hi happy birthday . hi hi hi hi hi hi hi
2586,ham,outside office take
2587,ham,n't respond imma assume 're still asleep imma start calling n shit
2588,ham,"aight , see bit"
2589,ham,superior telling friday leave department except oursemoticonso leave youemoticonany way call waheed fathima hr conform itemoticon
2590,spam,join uk 's horniest dogging service u sex 2nite ! . sign follow instruction . txt entry 69888 ! urlurl @ 150p
2591,ham,lol take . member said aunt flow n't visit 6 month ? 's cause developed ovarian cyst . bc way shrink .
2592,ham,still work going onemoticonit small house .
2593,ham,"friend got say 's upping order gram ( 's got $ number ) , get ?"
2594,ham,tmr timin still da wat co got lesson 6 ...
2595,ham,"'s thing ape , u fight death keep something , minute u let go , thats !"
2597,ham,'m gon na able . || late notice . || 'll home week anyway . || plan
2598,ham,"got fujitsu , ibm , hp , toshiba ... got lot model say ..."
2599,ham,okie ... thanx ...
2600,ham,"gosh , pain . spose better come ."
2601,ham,"usual .. iam fine , happy well .. emoticon"
2602,ham,okie
2603,ham,gon na get rimac access
2604,ham,`` im arestaurant eating squid ! 10:30 wan na dosomething late ? ''
2605,ham,call time job today ok umma ask speed
2606,ham,`` hello U.CALL wen u finish WRK.I fancy meetin wiv u tonite need break dabooks . 4 hr last NITE+2 today wrk ! ''
2607,ham,r u andsam p eachother . meet go 2 house
2608,ham,emoticon yeah ! lol . luckily n't starring role like !
2609,ham,hello madam ?
2610,ham,"awesome , text 're restocked"
2612,spam,knock knock txt whose 80082 enter r weekly draw 4 £250 gift voucher 4 store yr choice . tandcs url age16 stoptxtstop£1.50/week
2613,ham,yes . 's innocent fun . oemoticon
2614,ham,thanks sending mental ability question ..
2615,ham,"sir , hope day going smoothly . really hoped wont bother . bill ca n't settle month . extra cash . know challenging time also let know ."
2616,ham,2marrow . wed number 2 aha .
2617,ham,went ur hon lab one .
2619,ham,hey pple ... $ 700 $ 900 5 night ... excellent location wif breakfast hamper ! ! !
2620,spam,< forwarded 21870000 > hi - mailbox messaging sm alert . 40 match . please call back 09056242159 retrieve message match cc100p/min
2621,ham,come ?
2622,ham,lol ! nah wa n't bad thanks . good b home quite reality check . hows ur day ? u anything website ?
2623,ham,ok lor ...
2624,ham,'m coming home 4 dinner .
2625,ham,da .. al r number
2626,spam,free ring tone text `` polys '' 87131 . every week get new tone . 0870737910216yrs £1.50/wk .
2627,ham,unni thank dear recharge .. rakhesh
2628,ham,know 'm lacking particular dramastorm 's detail part 'm worried
2629,ham,haha ... cant ... tmr forfeit ... haha ?
2630,ham,"hey ! glad u r better . hear u treated urself digi cam , good ? r 9pm . fab new year , c u coupla wks !"
2631,ham,way 'm going back !
2632,spam,"urgent ! mobile 077xxx £2,000 bonus caller prize 02/06/03 ! 2nd attempt reach ! call 09066362206 asap ! box97n7qp , 150ppm"
2633,ham,cal sir . meeting
2634,ham,"'s love hear : v see sundayish ,"
2635,ham,"sorry da thangam , sorry held prasad ."
2636,ham,tiwary url bang kochi .
2637,ham,thank god bed !
2638,ham,n't cancer . mom making big deal regular checkup aka pap smear
2639,ham,gobi art college
2640,ham,want talk
2641,ham,pandy joined 4w technology url got job ..
2642,spam,"guaranteed latest nokia phone , 40gb ipod mp3 player £500 prize ! txt word : collect : 83355 ! ibhltd ldnw15h 150p/Mtmsgrcvd18"
2643,ham,"try ! get lost , fact . tee hee"
2645,ham,friend use call .
2647,ham,"em , olowoyey @ url great time argentina . sad secretary , everything blessing"
2648,ham,", ,s taxt massage .... tie-pos argh ok ! lool !"
2649,ham,"hi , please get number dollar loan . I.ll pay back mid february . pls ."
2650,ham,"might want pull case plan spending , n't much confidence derek taylor 's money management"
2651,ham,like shaking booty dance floor ?
2652,ham,"text get , n't call , phone problem"
2653,ham,need drug anymore .
2654,ham,sorry daemoticoni wa thought calling lot timesemoticonlil busy.i call noon ..
2655,ham,sarcasm .. .nt scarcasim
2656,ham,great ! run ttyl !
2657,ham,feel like trying kadeem ? : v
2658,ham,dai number naal eruku .
2659,ham,yet chikku .. wat abt u ?
2661,ham,want finally lunch today ?
2662,ham,know dad back ?
2663,spam,"hello darling today ? would love chat , dont tell look like sexy ?"
2664,spam,8007 free 1st week ! no1 nokia tone 4 ur mob every week txt nokia 8007 get txting tell ur mate URL.uk pobox 36504 w4 5wq norm 150p/tone 16+
2665,ham,remains bro amongst bros
2666,ham,r u meeting da ge nite tmr ?
2667,ham,"* wa nice day , impressively , wa sensible , went home early feel fine . boring ? ! 's , ca n't remember ."
2668,ham,de . looking good onlyemoticon ..
2669,spam,wan na get laid 2nite ? want real dogging location sent direct ur mobile ? join uk 's largest dogging network . txt park 69696 ! nyt . ec2a . 3lp £1.50/msg
2670,spam,tried contact response offer new nokia fone camcorder hit reply call 08000930705 delivery
2671,ham,yes . replied mail . 'm going management office later . plus bank later url wednesday .
2672,ham,"'s cool , 'll come like number ish"
2673,ham,super msg daemoticonnalla timing .
2674,ham,"good afternoon , boytoy ... feeling today ? better hope ? good boy ? obedient , slave ? please queen ?"
2675,ham,6 ft. good combination !
2676,ham,'m sick ! ! 'm needy ! ! want ! ! * pout * * stomp foot * ? ! * pout * * stomp foot * want slave ! ! want ! !
2677,ham,* train back northampton 'm afraid !
2678,ham,abj serving . staying dad alone .
2679,ham,wa playng 9 door game gt racing phone lol
2680,spam,"new tone week include : 1 ) McFly-All ab .. , 2 ) sara Jorge-Shock .. 3 ) Smith-Switch .. order follow instruction next message"
2682,ham,'m da bus going home ...
2683,ham,got call landline number . . . asked come anna nagar . . . go afternoon
2684,ham,'m okay . chasing dream . 's good . next .
2685,ham,yupz ... 've oredi booked slot 4 weekend liao ...
2686,spam,urgent ! trying contact U. today draw show £800 prize guaranteed . call 09050003091 land line . claim c52 . valid 12hrs
2687,ham,r many model .. sony ericson also der .. number .. luks good bt forgot modl
2689,ham,yes know cheesy song frosty snowman emoticon
2690,ham,"ya ok , vikky vl c witin number min il reply u .."
2691,spam,sport fan - get latest sport news str * 2 ur mobile 1 wk free plus free tone txt sport 8007 URL.uk 0870141701216+ norm 4txt/120p
2692,ham,hey tmr meet bugis 930 ?
2693,spam,"urgent urgent ! 800 free flight europe give away , call b4 10th sept take friend 4 free . call claim 09050000555 . ba128nnfwfly150ppm"
2694,ham,nice new shirt thing wear nudist themed ; _ ; mu ?
2695,ham,hey sexy bun ! day ? word morning ym ... emoticon ... think
2696,ham,whenever see still hook .
2697,ham,nope 'm going home go pump petrol lor ... like going 2 rain soon ...
2698,ham,use foreign stamp whatever send ?
2699,spam,88066 lost £12 help
2700,ham,oh baby house . come dont new picture facebook
2701,ham,feb number `` love u '' day . send dis ur `` valued frnds '' evn . 3 come back u 'll gt married person u luv ! u ignore dis u lose ur luv 4 evr
2702,ham,"hiya , sorry n't hav signal . n't seen heard neither ha , unusual ! 'll put case get sort ! hug snogs ."
2703,ham,"omw back tampa west palm , hear happened ?"
2704,ham,yup already ... thanx 4 printing n handing .
2705,spam,freemsg : fancy flirt ? reply date join uk fastest growing mobile dating service . msg rcvd 25p optout txt stop 83021 . reply date !
2706,ham,mean come chase stated watch many movie want .
2707,ham,took tablet . reaction morning .
2708,spam,great new offer - double min double txt best orange tariff get latest camera phone 4 free ! call mobileupd8 free 08000839402 ! 2stoptxt tandcs
2709,ham,"nah , 'm perpetual dd"
2710,ham,sorry de went shop .
2711,spam,hope enjoyed new content . text stop 61610 unsubscribe . help:08712400602450p provided url
2713,ham,hey still want go yogasana ? coz end cine go bathe hav steam bath
2714,ham,nope 'm drivin ... neva develop da photo lei ...
2715,ham,thinking going reg pract lesson .. flung advance .. haha wat time u going ?
2716,ham,cool . number inch long . hope like big !
2717,ham,"House-Maid murderer , coz man wa murdered number th january .. public holiday url closed , including post office .. understand ?"
2718,ham,okie .. thanx ..
2720,ham,go n buy ? juz buy get lar .
2722,ham,'m working technical support emoticonvoice process .
2723,ham,'s justbeen overa week since broke already brain going mush !
2724,ham,"tunde , . wishing great day . abiola ."
2725,ham,nope ... c u ...
2726,ham,. 'll medical mission nigeria
2727,ham,movie laptop
2729,spam,urgent please call 09066612661 landline . £5000 cash luxury 4 * canary island holiday await collection . tandcs sae award . 20m12aq . 150ppm . 16+ ``
2730,spam,"urgent ! please call 09066612661 landline , complimentary 4 * lux costa del sol holiday £1000 cash await collection . ppm 150 sae tandcs james 28 , eh74rr"
2731,ham,havent lei .. next mon ?
2732,ham,mm feeling sleepy . today shall get dear
2733,ham,dare stupid . wont tell anything . hear wont talk : - .
2734,ham,u noe ben going ?
2735,ham,mag meeting avo point ?
2736,ham,meant middle left right ?
2737,ham,really ? crashed cuddled sofa .
2738,ham,hi chachi tried calling u unable reach u .. pl give missed cal u c tiz msg kanagu
2739,ham,"sent price mean number g ,"
2741,ham,nothing . ...
2743,ham,* working ringing u thing whole houseful screaming brat * pulling hair ! loving u
2744,ham,family responding anything . room went home diwali one called coming . make feel like died .
2745,ham,"tick , tick , tick ... babe"
2746,ham,r u going 4 today 's meeting ?
2747,ham,k daemoticonhow many page want ?
2748,ham,ya url roast .
2749,ham,send number give reply tomorrow morning said like ok
2750,ham,said . problem . . let know .
2751,ham,ok tell half hr b4 u come need 2 prepare .
2752,ham,play w computer ? aiyah tok 2 u lor ?
2753,ham,sat right ? okay thanks ...
2754,ham,"derp . worse , dude always want party dude file complaint three drug abuser life"
2755,ham,ok chinese food way . get fat 're paying lipo .
2756,ham,r outside already .
2757,ham,good trip . watch . remember get back must decide easter .
2758,ham,yo watching movie netflix
2759,ham,time . 'm prob 3
2760,ham,"meh ? thgt clash ... really ah , dun mind ... dun seen lost weight ... gee ..."
2763,ham,arr birthday todayemoticon wish get oscar .
2765,ham,"open rebtel firefox . load put plus sign user name place , show two number . lower number number . pick number pin display okay !"
2766,ham,picking various point
2767,spam,married local woman looking discreet action ! 5 real match instantly phone . text match 69969 msg cost 150p 2 stop txt stop bcmsfwc1n3xx
2768,ham,wow v v impressed . fun shopping !
2769,ham,way ur home
2770,spam,burger king - wan na play footy top stadium ? get 2 burger king 1st sept go large super Coca-Cola walk winner
2771,ham,problem . talk later
2772,ham,ur si ?
2773,ham,still customer place
2774,spam,come take little time child afraid dark become teenager want stay night ?
2775,ham,"dude u knw also telugu .. thts gud .. k , gud nyt .."
2776,ham,confirm eating esplanade ?
2777,ham,send id password
2778,ham,kind . took garage . centre part exhaust need replacing . part ordered n taking fixed tomo morning .
2779,spam,"ur chance win £250 cash every wk txt : action 80608 . T'sandC 's url custcare 08712405022 , 1x150p/wk ."
2780,ham,well might come ...
2781,ham,long quit . get like 5 minute day .
2782,ham,likely called mittelschmertz . google . dont paracetamol dont worry go .
2783,ham,well right 'm gon na get check today 's steam sales/pee text want come get
2784,ham,"arrived , see couple day emoticon"
2785,ham,"k , wat tht incident ?"
2786,ham,yeah get unlimited
2787,ham,cthen thk shd b enuff .. still got conclusion n content pg n reference .. 'll b da content pg n cover pg ..
2788,ham,"forgot take 3 year shower , sorry . at/your phone dead yet ?"
2789,ham,u got wat buy tell u u need come .
2790,ham,big .. | god bring success .
2791,spam,u 've bin awarded £50 play 4 instant cash . call 08715203028 claim . every 9th player win min £50-£500 . optout 08718727870
2792,ham,"... r stayin extra week , back next wed. rugby weekend ? hi , c u soon ``"
2793,ham,well 's still bit left guy want tonight
2794,ham,campus . library ?
2795,ham,"affidavit say number e twiggs st , division g , courtroom number , time . 'll double check text tomorrow"
2796,ham,creep ? ; _ ;
2798,ham,get ten billion call text help god
2800,ham,'ve told 've returned . order .
2801,ham,"House-Maid murderer , coz man wa murdered number th january .. public holiday url closed , including post office .."
2802,ham,depends u going lor .
2803,ham,smile right go world wonder smiling think crazy keep away ... * grin *
2804,spam,freemsg > fav xmas tone ! reply real
2805,ham,lil feveremoticon fineemoticon
2806,ham,think 's still car
2807,ham,?
